"newData","wantedData...2.","wantedData...2..1"
2.25,9.14465824283188,9.144658243
0,7.88264304936184,7.882643049
0,8.01122725542325,8.011227255
0,13.2403441466314,NA
7411.13,3.70043971814109,3.700439718
31.56,9.8073549220576,9.807354922
3069.94,15.3045295796103,NA
1250.97,13.6446449479688,13.64464495
0,7.33091687811462,7.330916878
302.04,14.1368309461027,14.13683095
7492.28,15.7021997464683,15.70219975
0,9.98868468677217,9.988684687
9.02,3.29070421608576,NA
897.09,7.59991284218713,7.599912842
40.57,16.1652406997965,16.1652407
0,4.27587028668164,4.275870287
0,3.68209830642611,3.682098306
220.89,6.22881869049588,6.22881869
9.02,6.4093909361377,NA
0,13.4124375319483,13.41243753
13.52,11.6856248397264,NA
1250.97,13.6446449479688,13.64464495
0,7.47156459247093,7.471564592
4.51,9.3151495622563,9.315149562
5166.16,14.4586629328678,14.45866293
0,4.31800786404419,4.318007864
4.51,7.06608919045777,7.06608919
0,12.4220647661728,12.42206477
0,19.2262687102042,19.22626871
0,3,3
0,12.3896313392605,12.38963134
0,14.1003338191265,14.10033382
13.52,8.69348695749932,8.693486957
0,7.62205181945638,7.622051819
36.06,11.8229690904533,11.82296909
0,2.8073549220576,2.807354922
0,5.61470984411521,5.614709844
0,8.56605403817109,8.566054038
1546.24,8.5352753766208,8.535275377
0,3.58496250072116,3.584962501
0,4.90689059560852,4.906890596
0,6.96578428466209,6.965784285
13.52,1.36485790465932,1.364857905
6166.93,2.32192809488736,2.321928095
130.73,11.5774288280357,11.57742883
157.78,9.82336724004623,9.82336724
9.02,7.76818432477693,7.768184325
0,13.204876767604,13.20487677
22.54,6.02236781302845,6.022367813
18.03,7.27612440527424,7.276124405
0,8.00562454919388,8.005624549
0,4.24792751344359,4.247927513
545.47,13.9391200351387,13.93912004
4.51,3.16515076657662,3.165150767
7492.28,15.7021997464683,15.70219975
0,7.23972302024872,7.23972302
0,6.4594316186373,6.459431619
18.03,13.8958592495189,13.89585925
0,4.50543537645041,4.505435376
0,4.05866694154814,4.058666942
